<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BTC-USD,D,20190209,000000,3623.7300000
GDAX.BTC-USD,D,20190210,000000,3648.8400000
GDAX.BTC-USD,D,20190211,000000,3590.3600000
GDAX.BTC-USD,D,20190212,000000,3588.0600000
GDAX.BTC-USD,D,20190213,000000,3576.6800000
GDAX.BTC-USD,D,20190214,000000,3561.5000000
GDAX.BTC-USD,D,20190215,000000,3566.5900000
GDAX.BTC-USD,D,20190216,000000,3582.3700000
GDAX.BTC-USD,D,20190217,000000,3625.0800000
GDAX.BTC-USD,D,20190218,000000,3867.0000000
GDAX.BTC-USD,D,20190219,000000,3888.0100000
GDAX.BTC-USD,D,20190220,000000,3938.9900000
GDAX.BTC-USD,D,20190221,000000,3897.7100000
GDAX.BTC-USD,D,20190222,000000,3942.0200000
GDAX.BTC-USD,D,20190223,000000,4110.0000000
GDAX.BTC-USD,D,20190224,000000,3734.2200000
GDAX.BTC-USD,D,20190225,000000,3818.7900000
GDAX.BTC-USD,D,20190226,000000,3799.4800000
GDAX.BTC-USD,D,20190227,000000,3799.9100000
GDAX.BTC-USD,D,20190228,000000,3792.1400000
GDAX.BTC-USD,D,20190301,000000,3806.1700000
GDAX.BTC-USD,D,20190302,000000,3809.7000000
GDAX.BTC-USD,D,20190303,000000,3786.9300000
GDAX.BTC-USD,D,20190304,000000,3700.7200000
GDAX.BTC-USD,D,20190305,000000,3844.5900000
GDAX.BTC-USD,D,20190306,000000,3851.8900000
GDAX.BTC-USD,D,20190307,000000,3857.0500000
GDAX.BTC-USD,D,20190308,000000,3843.1200000
GDAX.BTC-USD,D,20190309,000000,3917.0000000
GDAX.BTC-USD,D,20190310,000000,3900.9200000
GDAX.BTC-USD,D,20190311,000000,3849.6800000
GDAX.BTC-USD,D,20190312,000000,3860.0000000
GDAX.BTC-USD,D,20190313,000000,3851.0200000
GDAX.BTC-USD,D,20190314,000000,3853.9500000
GDAX.BTC-USD,D,20190315,000000,3902.8000000
GDAX.BTC-USD,D,20190316,000000,3990.0000000
GDAX.BTC-USD,D,20190317,000000,3967.0100000
GDAX.BTC-USD,D,20190318,000000,3970.5000000
GDAX.BTC-USD,D,20190319,000000,4000.8500000
GDAX.BTC-USD,D,20190320,000000,4031.8500000
GDAX.BTC-USD,D,20190321,000000,3972.7600000
GDAX.BTC-USD,D,20190322,000000,3983.7800000
GDAX.BTC-USD,D,20190323,000000,3983.4300000
GDAX.BTC-USD,D,20190324,000000,3969.5200000
GDAX.BTC-USD,D,20190325,000000,3907.5300000
GDAX.BTC-USD,D,20190326,000000,3921.4500000
GDAX.BTC-USD,D,20190327,000000,4026.5300000
GDAX.BTC-USD,D,20190328,000000,4011.1700000
GDAX.BTC-USD,D,20190329,000000,4091.0100000
GDAX.BTC-USD,D,20190330,000000,4094.1400000
GDAX.BTC-USD,D,20190331,000000,4094.9900000
GDAX.BTC-USD,D,20190401,000000,4137.0000000
GDAX.BTC-USD,D,20190402,000000,4901.9300000
GDAX.BTC-USD,D,20190403,000000,4975.9700000
GDAX.BTC-USD,D,20190404,000000,4906.4900000
GDAX.BTC-USD,D,20190405,000000,5040.6600000
GDAX.BTC-USD,D,20190406,000000,5049.2200000
GDAX.BTC-USD,D,20190407,000000,5194.7900000
GDAX.BTC-USD,D,20190408,000000,5285.5400000
GDAX.BTC-USD,D,20190409,000000,5187.2100000
GDAX.BTC-USD,D,20190410,000000,5318.5800000
GDAX.BTC-USD,D,20190411,000000,5041.3000000
GDAX.BTC-USD,D,20190412,000000,5078.1900000
GDAX.BTC-USD,D,20190413,000000,5066.2200000
GDAX.BTC-USD,D,20190414,000000,5164.2700000
GDAX.BTC-USD,D,20190415,000000,5029.9900000
GDAX.BTC-USD,D,20190416,000000,5202.9000000
GDAX.BTC-USD,D,20190417,000000,5227.0000000
GDAX.BTC-USD,D,20190418,000000,5281.8100000
GDAX.BTC-USD,D,20190419,000000,5290.3600000
GDAX.BTC-USD,D,20190420,000000,5319.8900000
GDAX.BTC-USD,D,20190421,000000,5297.6400000
GDAX.BTC-USD,D,20190422,000000,5387.6000000
GDAX.BTC-USD,D,20190423,000000,5532.7500000
GDAX.BTC-USD,D,20190424,000000,5441.9000000
GDAX.BTC-USD,D,20190425,000000,5134.8100000
GDAX.BTC-USD,D,20190426,000000,5159.5100000
